english,filipino,notes
Department of Health,Kagawaran ng Kalusugan,Government agency
Supreme Court,Korte Suprema,Legal term
President,Pangulo,Government title
Prime Minister,Punong Ministro,Government title
Senate,Senado,Government body
House of Representatives,Mababang Kapulungan,Government body
Constitution,Saligang Batas,Legal document
Attorney,Pang-abogadong Pangkalahatan,Legal role
Blood pressure,Presyon ng dugo,Medical term
Heart attack,Atake sa puso,Medical term
Diabetes,Diyabetis,Medical term (loanword)
COVID-19,COVID-19,Medical term
Vaccine,Bakuna,Medical term
Algorithm,Algoritmo,Technical term
Database,Kalipunan ng datos,Technical term
Server,Tagapagsilbi,Technical term
Computer,Kompyuter,Technical term
Electricity,Kuryente,General term
Climate change,Pagbabago ng klima,Environmental term
Earthquake,Lindol,Disaster term
Typhoon,Bagyo,Disaster term
